Struthio camelus,Ostrich,TC000001
Nothura chacoensis,Chaco Nothura,TC000064
Taoniscus nanus,Dwarf Tinamou,TC000065
Eudromia elegans,Elegant Crested-Tinamou,TC000066
Eudromia formosa,Quebracho Crested-Tinamou,TC000067
Tinamotis pentlandii,Puna Tinamou,TC000068
Tinamotis ingoufi,Patagonian Tinamou,TC000069
Anhima cornuta,Horned Screamer,TC000071
Chauna torquata,Southern Screamer,TC000072
Chauna chavaria,Northern Screamer,TC000073
Anseranas semipalmata,Magpie Goose,TC000074
Dendrocygna guttata,Spotted Whistling-Duck,TC000075
Dendrocygna eytoni,Plumed Whistling-Duck,TC000076
Dendrocygna viduata,White-faced Whistling-Duck,TC000077
Dendrocygna autumnalis,Black-bellied Whistling-Duck,TC000078
Dendrocygna arborea,West Indian Whistling-Duck,TC000079
Dendrocygna bicolor,Fulvous Whistling-Duck,TC000080
Dendrocygna arcuata,Wandering Whistling-Duck,TC000081
Dendrocygna javanica,Lesser Whistling-Duck,TC000082
Thalassornis leuconotus,White-backed Duck,TC000084
Anser cygnoides,Swan Goose,TC000085
Anser fabalis,Taiga Bean-Goose,TC000086
Anser serrirostris,Tundra Bean-Goose,TC000087
Anser brachyrhynchus,Pink-footed Goose,TC000089
Anser albifrons,Greater White-fronted Goose,TC000090
Anser erythropus,Lesser White-fronted Goose,TC000098
Anser anser,Graylag Goose,TC000099
Anser indicus,Bar-headed Goose,TC000103
Chen canagica,Emperor Goose,TC000104
Chen caerulescens,Snow Goose,TC000105
Chen rossii,Ross's Goose,TC000108
Branta bernicla,Brant,TC000110
Branta leucopsis,Barnacle Goose,TC000116
Branta hutchinsii,Cackling Goose,TC000119
Branta canadensis,Canada Goose,TC000124
Branta sandvicensis,Hawaiian Goose,TC000130
Branta ruficollis,Red-breasted Goose,TC000131
Cereopsis novaehollandiae,Cape Barren Goose,TC000134
Stictonetta naevosa,Freckled Duck,TC000135
Cyanochen cyanoptera,Blue-winged Goose,TC000136
Cygnus olor,Mute Swan,TC000137
Cygnus atratus,Black Swan,TC000138
Cygnus melancoryphus,Black-necked Swan,TC000139
Cygnus buccinator,Trumpeter Swan,TC000140
Cygnus columbianus,Tundra Swan,TC000143
Cygnus cygnus,Whooper Swan,TC000147
Coscoroba coscoroba,Coscoroba Swan,TC000149
Sarkidiornis melanotos,Comb Duck,TC000150
Pteronetta hartlaubii,Hartlaub's Duck,TC000151
Chloephaga melanoptera,Andean Goose,TC000152
Chloephaga picta,Upland Goose,TC000153
Chloephaga hybrida,Kelp Goose,TC000156
Chloephaga poliocephala,Ashy-headed Goose,TC000157
Chloephaga rubidiceps,Ruddy-headed Goose,TC000158
Neochen jubata,Orinoco Goose,TC000159
Alopochen aegyptiaca,Egyptian Goose,TC000160
Tadorna ferruginea,Ruddy Shelduck,TC000161
Tadorna cana,South African Shelduck,TC000162
Tadorna tadornoides,Australian Shelduck,TC000163
Tadorna variegata,Paradise Shelduck,TC000164
Tadorna tadorna,Common Shelduck,TC000165
Tadorna radjah,Radjah Shelduck,TC000166
Tadorna cristata,Crested Shelduck,TC000167
Plectropterus gambensis,Spur-winged Goose,TC000168
Tachyeres patachonicus,Flying Steamer-Duck,TC000169
Tachyeres pteneres,Flightless Steamer-Duck,TC000170
Tachyeres brachypterus,Falkland Steamer-Duck,TC000171
Tachyeres leucocephalus,White-headed Steamer-Duck,TC000172
Lophonetta specularioides,Crested Duck,TC000174
Speculanas specularis,Spectacled Duck,TC000175
Cairina moschata,Muscovy Duck,TC000176
Cairina scutulata,White-winged Duck,TC000179
Nettapus pulchellus,Green Pygmy-Goose,TC000180
Nettapus coromandelianus,Cotton Pygmy-Goose,TC000181
Nettapus auritus,African Pygmy-Goose,TC000182
Callonetta leucophrys,Ringed Teal,TC000183
Aix sponsa,Wood Duck,TC000184
Aix galericulata,Mandarin Duck,TC000187
Chenonetta jubata,Maned Duck,TC000188
Amazonetta brasiliensis,Brazilian Teal,TC000189
Hymenolaimus malacorhynchos,Blue Duck,TC000190
Merganetta armata,Torrent Duck,TC000191
Salvadorina waigiuensis,Salvadori's Teal,TC000192
Anas sparsa,African Black Duck,TC000193
Anas strepera,Gadwall,TC000194
Anas falcata,Falcated Duck,TC000200
Anas penelope,Eurasian Wigeon,TC000201
Anas americana,American Wigeon,TC000203
Anas sibilatrix,Chiloe Wigeon,TC000206
Anas rubripes,American Black Duck,TC000207
Anas undulata,Yellow-billed Duck,TC000209
Anas melleri,Meller's Duck,TC000210
Anas platyrhynchos,Mallard,TC000211
Anas fulvigula,Mottled Duck,TC000222
Anas wyvilliana,Hawaiian Duck,TC000227
Anas laysanensis,Laysan Duck,TC000228
Anas poecilorhyncha,Indian Spot-billed Duck,TC000229
Anas zonorhyncha,Eastern Spot-billed Duck,TC000230
Anas superciliosa,Pacific Black Duck,TC000231
Anas luzonica,Philippine Duck,TC000232
Anas discors,Blue-winged Teal,TC000233
Anas cyanoptera,Cinnamon Teal,TC000236
Anas platalea,Red Shoveler,TC000239
Anas smithii,Cape Shoveler,TC000240
Anas rhynchotis,Australian Shoveler,TC000241
Anas clypeata,Northern Shoveler,TC000242
Anas bahamensis,White-cheeked Pintail,TC000243
Anas erythrorhyncha,Red-billed Duck,TC000246
Anas acuta,Northern Pintail,TC000247
Anas eatoni,Eaton's Pintail,TC000248
Anas georgica,Yellow-billed Pintail,TC000249
Anas versicolor,Silver Teal,TC000252
Anas puna,Puna Teal,TC000253
Anas hottentota,Hottentot Teal,TC000254
Anas querquedula,Garganey,TC000255
Anas formosa,Baikal Teal,TC000256
Anas crecca,Green-winged Teal,TC000257
Anas andium,Andean Teal,TC000261
Anas flavirostris,Yellow-billed Teal,TC000262
Anas capensis,Cape Teal,TC000266
Anas bernieri,Bernier's Teal,TC000267
Anas gibberifrons,Sunda Teal,TC000268
Anas albogularis,Andaman Teal,TC000269
Anas gracilis,Gray Teal,TC000270
Anas castanea,Chestnut Teal,TC000271
Anas aucklandica,Auckland Islands Teal,TC000272
Anas nesiotis,Campbell Islands Teal,TC000273
Anas chlorotis,Brown Teal,TC000274
Malacorhynchus membranaceus,Pink-eared Duck,TC000277
Marmaronetta angustirostris,Marbled Teal,TC000278
Rhodonessa caryophyllacea,Pink-headed Duck,TC000279
Netta rufina,Red-crested Pochard,TC000280
Netta erythrophthalma,Southern Pochard,TC000281
Netta peposaca,Rosy-billed Pochard,TC000282
Aythya valisineria,Canvasback,TC000283
Aythya americana,Redhead,TC000284
Aythya ferina,Common Pochard,TC000285
Aythya collaris,Ring-necked Duck,TC000286
Aythya nyroca,Ferruginous Duck,TC000289
Aythya innotata,Madagascar Pochard,TC000290
Aythya baeri,Baer's Pochard,TC000291
Aythya australis,White-eyed Duck,TC000292
Aythya fuligula,Tufted Duck,TC000293
Aythya novaeseelandiae,New Zealand Scaup,TC000294
Aythya marila,Greater Scaup,TC000295
Aythya affinis,Lesser Scaup,TC000296
Polysticta stelleri,Steller's Eider,TC000299
Somateria fischeri,Spectacled Eider,TC000300
Somateria spectabilis,King Eider,TC000301
Somateria mollissima,Common Eider,TC000302
Histrionicus histrionicus,Harlequin Duck,TC000311
Camptorhynchus labradorius,Labrador Duck,TC000312
Melanitta perspicillata,Surf Scoter,TC000313
Melanitta fusca,White-winged Scoter,TC000314
Melanitta nigra,Common Scoter,TC000319
Melanitta americana,Black Scoter,TC000320
Clangula hyemalis,Long-tailed Duck,TC000323
Bucephala albeola,Bufflehead,TC000324
Bucephala clangula,Common Goldeneye,TC000326
Bucephala islandica,Barrow's Goldeneye,TC000329
Mergellus albellus,Smew,TC000333
Lophodytes cucullatus,Hooded Merganser,TC000334
Mergus australis,Auckland Islands Merganser,TC000335
Mergus merganser,Common Merganser,TC000336
Mergus octosetaceus,Brazilian Merganser,TC000339
Mergus serrator,Red-breasted Merganser,TC000340
Mergus squamatus,Scaly-sided Merganser,TC000342
Heteronetta atricapilla,Black-headed Duck,TC000344
Nomonyx dominicus,Masked Duck,TC000345
Oxyura jamaicensis,Ruddy Duck,TC000346
Oxyura leucocephala,White-headed Duck,TC000349
Oxyura maccoa,Maccoa Duck,TC000350
Oxyura vittata,Lake Duck,TC000351
Oxyura australis,Blue-billed Duck,TC000353
Biziura lobata,Musk Duck,TC000354
Alectura lathami,Australian Brush-Turkey,TC000357
Aepypodius arfakianus,Wattled Brush-Turkey,TC000358
Aepypodius bruijnii,Bruijn's Brush-Turkey,TC000359
Talegalla cuvieri,Red-billed Brush-Turkey,TC000360
Talegalla fuscirostris,Black-billed Brush-Turkey,TC000361
Talegalla jobiensis,Brown-collared Brush-Turkey,TC000362
Leipoa ocellata,Malleefowl,TC000363
Macrocephalon maleo,Maleo,TC000364
Megapodius wallacei,Moluccan Scrubfowl,TC000365
Megapodius pritchardii,Niuafoou Scrubfowl,TC000366
Megapodius laperouse,Micronesian Scrubfowl,TC000367
Megapodius nicobariensis,Nicobar Scrubfowl,TC000368
Megapodius cumingii,Tabon Scrubfowl,TC000369
Megapodius bernsteinii,Sula Scrubfowl,TC000370
Megapodius tenimberensis,Tanimbar Scrubfowl,TC000371
Megapodius freycinet,Dusky Scrubfowl,TC000372
Megapodius forstenii,Forsten's Scrubfowl,TC000373
Megapodius eremita,Melanesian Scrubfowl,TC000374
Megapodius layardi,Vanuatu Scrubfowl,TC000375
Megapodius affinis,New Guinea Scrubfowl,TC000376
Megapodius reinwardt,Orange-footed Scrubfowl,TC000377
Ortalis vetula,Plain Chachalaca,TC000378
Ortalis cinereiceps,Gray-headed Chachalaca,TC000379
Ortalis garrula,Chestnut-winged Chachalaca,TC000380
Ortalis ruficauda,Rufous-vented Chachalaca,TC000381
Ortalis erythroptera,Rufous-headed Chachalaca,TC000384
Ortalis wagleri,Rufous-bellied Chachalaca,TC000385
Ortalis poliocephala,West Mexican Chachalaca,TC000386
Ortalis canicollis,Chaco Chachalaca,TC000387
Ortalis leucogastra,White-bellied Chachalaca,TC000388
Ortalis columbiana,Colombian Chachalaca,TC012380
Ortalis guttata,Speckled Chachalaca,TC012788
Ortalis araucuan,East Brazilian Chachalaca,TC012787
Ortalis squamata,Scaled Chachalaca,TC012789
Ortalis motmot,Variable Chachalaca,TC000390
Ortalis superciliaris,Buff-browed Chachalaca,TC000391
Penelope argyrotis,Band-tailed Guan,TC000392
Penelope barbata,Bearded Guan,TC000393
Penelope ortoni,Baudo Guan,TC000394
Penelope montagnii,Andean Guan,TC000395
Penelope marail,Marail Guan,TC000396
Penelope superciliaris,Rusty-margined Guan,TC000397
Penelope dabbenei,Red-faced Guan,TC000398
Penelope jacquacu,Spix's Guan,TC000399
Penelope purpurascens,Crested Guan,TC000400
Penelope perspicax,Cauca Guan,TC000401
Penelope albipennis,White-winged Guan,TC000402
Penelope obscura,Dusky-legged Guan,TC000403
Penelope pileata,White-crested Guan,TC000406
Penelope ochrogaster,Chestnut-bellied Guan,TC000407
Penelope jacucaca,White-browed Guan,TC000408
Pipile pipile,Trinidad Piping-Guan,TC000409
Pipile cumanensis,Blue-throated Piping-Guan,TC000410
Pipile cujubi,Red-throated Piping-Guan,TC000411
Pipile jacutinga,Black-fronted Piping-Guan,TC000412
Aburria aburri,Wattled Guan,TC000413
Chamaepetes unicolor,Black Guan,TC000414
Chamaepetes goudotii,Sickle-winged Guan,TC000415
Penelopina nigra,Highland Guan,TC000416
Oreophasis derbianus,Horned Guan,TC000417
Nothocrax urumutum,Nocturnal Curassow,TC000418
Mitu tomentosum,Crestless Curassow,TC000419
Mitu salvini,Salvin's Curassow,TC000420
Mitu tuberosum,Razor-billed Curassow,TC000421
Mitu mitu,Alagoas Curassow,TC000422
Pauxi pauxi,Helmeted Curassow,TC000423
Pauxi koepckeae,Sira Curassow,TC012560
Pauxi unicornis,Horned Curassow,TC012561
Crax rubra,Great Curassow,TC000425
Crax alberti,Blue-billed Curassow,TC000426
Crax daubentoni,Yellow-knobbed Curassow,TC000427
Crax alector,Black Curassow,TC000428
Crax globulosa,Wattled Curassow,TC000429
Crax fasciolata,Bare-faced Curassow,TC000430
Crax blumenbachii,Red-billed Curassow,TC000431
Agelastes meleagrides,White-breasted Guineafowl,TC000432
Agelastes niger,Black Guineafowl,TC000433
Numida meleagris,Helmeted Guineafowl,TC000434
Guttera plumifera,Plumed Guineafowl,TC000435
Guttera pucherani,Crested Guineafowl,TC000436
Acryllium vulturinum,Vulturine Guineafowl,TC000437
Ptilopachus petrosus,Stone Partridge,TC000585
Ptilopachus nahani,Nahan's Francolin,TC000515
Dendrortyx barbatus,Bearded Wood-Partridge,TC000438
Dendrortyx macroura,Long-tailed Wood-Partridge,TC000439
Dendrortyx leucophrys,Buffy-crowned Wood-Partridge,TC000440
Oreortyx pictus,Mountain Quail,TC000441
Callipepla squamata,Scaled Quail,TC000442
Callipepla douglasii,Elegant Quail,TC000443
Callipepla californica,California Quail,TC000444
Callipepla gambelii,Gambel's Quail,TC000446
Philortyx fasciatus,Banded Quail,TC000447
Colinus virginianus,Northern Bobwhite,TC000448
Colinus nigrogularis,Black-throated Bobwhite,TC000453
Colinus cristatus,Crested Bobwhite,TC000454
Odontophorus gujanensis,Marbled Wood-Quail,TC000457
Odontophorus capueira,Spot-winged Wood-Quail,TC000458
Odontophorus melanotis,Black-eared Wood-Quail,TC000459
Odontophorus atrifrons,Black-fronted Wood-Quail,TC000460
Odontophorus erythrops,Rufous-fronted Wood-Quail,TC000461
Odontophorus hyperythrus,Chestnut Wood-Quail,TC000462
Odontophorus melanonotus,Dark-backed Wood-Quail,TC000463
Odontophorus speciosus,Rufous-breasted Wood-Quail,TC000464
Odontophorus dialeucos,Tacarcuna Wood-Quail,TC000465
Odontophorus strophium,Gorgeted Wood-Quail,TC000466
Odontophorus columbianus,Venezuelan Wood-Quail,TC000467
Odontophorus leucolaemus,Black-breasted Wood-Quail,TC000468
Odontophorus balliviani,Stripe-faced Wood-Quail,TC000469
Odontophorus stellatus,Starred Wood-Quail,TC000470
Odontophorus guttatus,Spotted Wood-Quail,TC000471
Dactylortyx thoracicus,Singing Quail,TC000473
Cyrtonyx montezumae,Montezuma Quail,TC000474
Cyrtonyx ocellatus,Ocellated Quail,TC000477
Rhynchortyx cinctus,Tawny-faced Quail,TC000478
Alectoris graeca,Rock Partridge,TC000480
Alectoris chukar,Chukar,TC000484
Alectoris philbyi,Philby's Partridge,TC000485
Alectoris magna,Przevalski's Partridge,TC000486
Alectoris rufa,Red-legged Partridge,TC000487
Alectoris melanocephala,Arabian Partridge,TC000488
Alectoris barbara,Barbary Partridge,TC000489
Lerwa lerwa,Snow Partridge,TC000490
Tetraophasis obscurus,Verreaux's Partridge,TC000491
Tetraophasis szechenyii,Szechenyi's Partridge,TC000492
Tetraogallus caucasicus,Caucasian Snowcock,TC000493
Tetraogallus caspius,Caspian Snowcock,TC000494
Tetraogallus altaicus,Altai Snowcock,TC000495
Tetraogallus tibetanus,Tibetan Snowcock,TC000496
Tetraogallus himalayensis,Himalayan Snowcock,TC000497
Francolinus pondicerianus,Gray Francolin,TC000498
Francolinus gularis,Swamp Francolin,TC000499
Francolinus coqui,Coqui Francolin,TC000500
Francolinus albogularis,White-throated Francolin,TC000501
Francolinus schlegelii,Schlegel's Francolin,TC000502
Francolinus lathami,Forest Francolin,TC000503
Francolinus sephaena,Crested Francolin,TC000504
Francolinus streptophorus,Ring-necked Francolin,TC000505
Francolinus finschi,Finsch's Francolin,TC000506
Francolinus levaillantii,Red-winged Francolin,TC000507
Francolinus africanus,Gray-winged Francolin,TC000508
Francolinus psilolaemus,Moorland Francolin,TC000509
Francolinus shelleyi,Shelley's Francolin,TC000510
Francolinus levaillantoides,Orange River Francolin,TC000511
Francolinus squamatus,Scaly Francolin,TC000512
Francolinus ahantensis,Ahanta Francolin,TC000513
Francolinus griseostriatus,Gray-striped Francolin,TC000514
Francolinus hartlaubi,Hartlaub's Francolin,TC000516
Francolinus bicalcaratus,Double-spurred Francolin,TC000517
Francolinus francolinus,Black Francolin,TC000518
Francolinus pictus,Painted Francolin,TC000519
Francolinus pintadeanus,Chinese Francolin,TC000520
Francolinus erckelii,Erckel's Francolin,TC000521
Francolinus ochropectus,Djibouti Francolin,TC000522
Francolinus clappertoni,Clapperton's Francolin,TC000523
Francolinus harwoodi,Harwood's Francolin,TC000524
Francolinus icterorhynchus,Heuglin's Francolin,TC000525
Francolinus adspersus,Red-billed Francolin,TC000526
Francolinus capensis,Cape Francolin,TC000527
Francolinus natalensis,Natal Francolin,TC000528
Francolinus hildebrandti,Hildebrandt's Francolin,TC000529
Francolinus leucoscepus,Yellow-necked Francolin,TC000530
Francolinus rufopictus,Gray-breasted Francolin,TC000531
Francolinus afer,Red-necked Francolin,TC000532
Francolinus swainsonii,Swainson's Francolin,TC000533
Francolinus jacksoni,Jackson's Francolin,TC000534
Francolinus nobilis,Handsome Francolin,TC000535
Francolinus camerunensis,Cameroon Francolin,TC000536
Francolinus swierstrai,Swierstra's Francolin,TC000537
Francolinus castaneicollis,Chestnut-naped Francolin,TC000538
Ammoperdix griseogularis,See-see Partridge,TC000539
Ammoperdix heyi,Sand Partridge,TC000540
Perdix perdix,Gray Partridge,TC000541
Perdix dauurica,Daurian Partridge,TC000542
Perdix hodgsoniae,Tibetan Partridge,TC000543
Rhizothera longirostris,Long-billed Partridge,TC000544
Margaroperdix madagascarensis,Madagascar Partridge,TC000545
Melanoperdix niger,Black Partridge,TC000546
Coturnix japonica,Japanese Quail,TC000547
Coturnix coturnix,Common Quail,TC000548
Coturnix delegorguei,Harlequin Quail,TC000549
Coturnix coromandelica,Rain Quail,TC000550
Coturnix pectoralis,Stubble Quail,TC000551
Coturnix novaezelandiae,New Zealand Quail,TC000552
Coturnix ypsilophora,Brown Quail,TC000553
Coturnix chinensis,Blue-breasted Quail,TC000554
Coturnix adansonii,Blue Quail,TC000555
Anurophasis monorthonyx,Snow Mountain Quail,TC000557
Perdicula asiatica,Jungle Bush-Quail,TC000558
Perdicula argoondah,Rock Bush-Quail,TC000559
Perdicula erythrorhyncha,Painted Bush-Quail,TC000560
Perdicula manipurensis,Manipur Bush-Quail,TC000561
Ophrysia superciliosa,Himalayan Quail,TC000562
Xenoperdix udzungwensis,Udzungwa Partridge,TC000563
Arborophila torqueola,Hill Partridge,TC000564
Arborophila rufipectus,Sichuan Partridge,TC000565
Arborophila mandellii,Chestnut-breasted Partridge,TC000566
Arborophila gingica,White-necklaced Partridge,TC000567
Arborophila rufogularis,Rufous-throated Partridge,TC000568
Arborophila atrogularis,White-cheeked Partridge,TC000569
Arborophila crudigularis,Taiwan Partridge,TC000570
Arborophila ardens,Hainan Partridge,TC000571
Arborophila javanica,Chestnut-bellied Partridge,TC000572
Arborophila orientalis,Gray-breasted Partridge,TC000573
Arborophila brunneopectus,Bar-backed Partridge,TC000574
Arborophila davidi,Orange-necked Partridge,TC000575
Arborophila cambodiana,Chestnut-headed Partridge,TC000576
Arborophila hyperythra,Red-breasted Partridge,TC000577
Arborophila rubrirostris,Red-billed Partridge,TC000578
Arborophila chloropus,Scaly-breasted Partridge,TC000579
Arborophila merlini,Vietnam Partridge,TC000580
Arborophila charltonii,Chestnut-necklaced Partridge,TC000581
Caloperdix oculeus,Ferruginous Partridge,TC000582
Haematortyx sanguiniceps,Crimson-headed Partridge,TC000583
Rollulus rouloul,Crested Partridge,TC000584
Bambusicola fytchii,Mountain Bamboo-Partridge,TC000586
Bambusicola thoracicus,Chinese Bamboo-Partridge,TC000587
Galloperdix spadicea,Red Spurfowl,TC000588
Galloperdix lunulata,Painted Spurfowl,TC000589
Galloperdix bicalcarata,Sri Lanka Spurfowl,TC000590
Ithaginis cruentus,Blood Pheasant,TC000591
Tragopan melanocephalus,Western Tragopan,TC000592
Tragopan satyra,Satyr Tragopan,TC000593
Tragopan blythii,Blyth's Tragopan,TC000594
Tragopan temminckii,Temminck's Tragopan,TC000595
Tragopan caboti,Cabot's Tragopan,TC000596
Pucrasia macrolopha,Koklass Pheasant,TC000597
Lophophorus impejanus,Himalayan Monal,TC000598
Lophophorus sclateri,Sclater's Monal,TC000599
Lophophorus lhuysii,Chinese Monal,TC000600
Gallus gallus,Red Junglefowl,TC000601
Gallus sonneratii,Gray Junglefowl,TC000602
Gallus lafayetii,Sri Lanka Junglefowl,TC000603
Gallus varius,Green Junglefowl,TC000604
Lophura leucomelanos,Kalij Pheasant,TC000605
Lophura edwardsi,Edwards's Pheasant,TC000607
Lophura swinhoii,Swinhoe's Pheasant,TC000609
Lophura inornata,Salvadori's Pheasant,TC000610
Lophura nycthemera,Silver Pheasant,TC000611
Lophura erythrophthalma,Crestless Fireback,TC000612
Lophura ignita,Crested Fireback,TC000613
Lophura diardi,Siamese Fireback,TC000614
Lophura bulweri,Bulwer's Pheasant,TC000615
Crossoptilon crossoptilon,White Eared-Pheasant,TC000616
Crossoptilon mantchuricum,Brown Eared-Pheasant,TC000617
Crossoptilon auritum,Blue Eared-Pheasant,TC000618
Catreus wallichii,Cheer Pheasant,TC000619
Syrmaticus ellioti,Elliot's Pheasant,TC000620
Syrmaticus humiae,Hume's Pheasant,TC000621
Syrmaticus mikado,Mikado Pheasant,TC000622
Syrmaticus soemmerringii,Copper Pheasant,TC000623
Syrmaticus reevesii,Reeves's Pheasant,TC000624
Phasianus colchicus,Ring-necked Pheasant,TC000625
Chrysolophus pictus,Golden Pheasant,TC000628
Chrysolophus amherstiae,Lady Amherst's Pheasant,TC000629
Polyplectron chalcurum,Bronze-tailed Peacock-Pheasant,TC000630
Polyplectron inopinatum,Mountain Peacock-Pheasant,TC000631
Polyplectron germaini,Germain's Peacock-Pheasant,TC000632
Polyplectron bicalcaratum,Gray Peacock-Pheasant,TC000633
Polyplectron malacense,Malayan Peacock-Pheasant,TC000634
Polyplectron schleiermacheri,Bornean Peacock-Pheasant,TC000635
Polyplectron napoleonis,Palawan Peacock-Pheasant,TC000636
Rheinardia ocellata,Crested Argus,TC000637
Argusianus argus,Great Argus,TC000638
Pavo cristatus,Indian Peafowl,TC000639
Pavo muticus,Green Peafowl,TC000640
Afropavo congensis,Congo Peacock,TC000641
Tetrao parvirostris,Black-billed Capercaillie,TC000642
Tetrao urogallus,Eurasian Capercaillie,TC000643
Tetrao tetrix,Black Grouse,TC000644
Tetrao mlokosiewiczi,Caucasian Grouse,TC000645
Bonasa bonasia,Hazel Grouse,TC000646
Bonasa sewerzowi,Severtzov's Grouse,TC000647
Bonasa umbellus,Ruffed Grouse,TC000648
Centrocercus urophasianus,Greater Sage-Grouse,TC000649
Centrocercus minimus,Gunnison Sage-Grouse,TC000650
Falcipennis falcipennis,Siberian Grouse,TC000664
Falcipennis canadensis,Spruce Grouse,TC000652
Lagopus lagopus,Willow Ptarmigan,TC000655
Lagopus muta,Rock Ptarmigan,TC000658
Lagopus leucura,White-tailed Ptarmigan,TC000659
Dendragapus obscurus,Dusky Grouse,TC000661
Dendragapus fuliginosus,Sooty Grouse,TC000662
Tympanuchus phasianellus,Sharp-tailed Grouse,TC000665
Tympanuchus cupido,Greater Prairie-Chicken,TC000666
Tympanuchus pallidicinctus,Lesser Prairie-Chicken,TC000670
Meleagris gallopavo,Wild Turkey,TC000671
Meleagris ocellata,Ocellated Turkey,TC000672
Gavia stellata,Red-throated Loon,TC000673
Gavia arctica,Arctic Loon,TC000674
Gavia pacifica,Pacific Loon,TC000675
Gavia immer,Common Loon,TC000677
Gavia adamsii,Yellow-billed Loon,TC000678
Rollandia rolland,White-tufted Grebe,TC000681
Rollandia microptera,Titicaca Grebe,TC000682
Tachybaptus rufolavatus,Alaotra Grebe,TC000683
Tachybaptus ruficollis,Little Grebe,TC000684
Tachybaptus novaehollandiae,Australasian Grebe,TC000685
Tachybaptus pelzelnii,Madagascar Grebe,TC000686
Tachybaptus dominicus,Least Grebe,TC000687
Podilymbus podiceps,Pied-billed Grebe,TC000688
Podilymbus gigas,Atitlan Grebe,TC000689
Poliocephalus poliocephalus,Hoary-headed Grebe,TC000690
Poliocephalus rufopectus,New Zealand Grebe,TC000691
Podiceps major,Great Grebe,TC000692
Podiceps auritus,Horned Grebe,TC000693
Podiceps grisegena,Red-necked Grebe,TC000694
Podiceps cristatus,Great Crested Grebe,TC000695
Podiceps nigricollis,Eared Grebe,TC000696
Podiceps andinus,Colombian Grebe,TC000698
Podiceps occipitalis,Silvery Grebe,TC000699
Podiceps taczanowskii,Junin Grebe,TC000702
Podiceps gallardoi,Hooded Grebe,TC000703
Aechmophorus occidentalis,Western Grebe,TC000705
Aechmophorus clarkii,Clark's Grebe,TC000707
Phoenicopterus ruber,American Flamingo,TC000710
Phoenicopterus roseus,Greater Flamingo,TC000711
Phoenicopterus chilensis,Chilean Flamingo,TC000713
Phoenicopterus minor,Lesser Flamingo,TC000714
Phoenicoparrus andinus,Andean Flamingo,TC000715
Phoenicoparrus jamesi,James's Flamingo,TC000716
Aptenodytes patagonicus,King Penguin,TC000718
Aptenodytes forsteri,Emperor Penguin,TC000719
